Population,YEAR,Years_Since,Sex,Age,Total_Length,Heart_Girth,Skull_Width,Mass
SB,2001,20,F,1,148,77.2,13.7,52.6
SB,2001,20,F,0,80,42.1,9.7,5.4
SB,2001,20,F,0,150.4,82.5,14.5,86.2
SB,2001,20,F,0,78.5,41.7,10.1,4.5
SB,2001,20,F,0,134.9,87.2,14.2,81.2
SB,2001,20,F,26,226,118.5,22.8,161
SB,2001,20,M,6,226.5,122,22.1,200.5
SB,2001,20,M,7,261,135.2,21.5,283.5
SB,2006,25,M,12,271,155.5,24.6,385.6
SB,2001,20,M,0,84,45.1,10.5,15
SB,2008,27,M,7,242,148,24.7,368.3
SB,2001,20,M,4,215.5,118.5,20.1,199.6
SB,2001,20,F,7,225,120.5,20.3,198.7
SB,2001,20,M,1,161,99.2,15.9,91.6
SB,2001,20,F,12,228,116.7,21,199.6
SB,2002,21,F,13,226,118,24.4,191.4
SB,2001,20,F,9,221,119.2,20.4,220
SB,2007,26,F,7,226,121,20.2,193.7
SB,2001,20,F,1,154,77.5,14.4,71.7
SB,2001,20,F,1,145,75.8,14,66.2
SB,2001,20,M,4,235,131.3,21.1,258.5
SB,2001,20,M,8,247,152.1,25.8,376.5
SB,2001,20,M,2,208,120.7,19.5,172.4
SB,2006,25,M,7,249,137,25.2,301.6
SB,2009,28,M,10,264,174.8,27.1,446.8
SB,2001,20,M,8,252,141,23.8,340.2
SB,2006,25,M,13,276,148,26.7,385.6
SB,2007,26,M,14,287,150.3,27,387.8
SB,2001,20,M,7,257,143,23.8,353.8
SB,2008,27,M,14,253,153,27.6,466.3
SB,2001,20,F,3,215,115,19.7,167.8
SB,2001,20,M,7,258.5,141.2,22.4,362.9
SB,2001,20,F,0,97,47,9.9,15
SB,2001,20,F,3,195,97.5,17,120.2
SB,2002,21,F,4,215,99,19,127
SB,2001,20,M,11,266.5,150,27.9,417.3
SB,2001,20,M,1,207.5,112.5,18.4,192.8
SB,2002,21,F,10,226,110,20.6,165.6
SB,2001,20,M,1,214,122,18.8,244.9
SB,2001,20,F,1,189,122.4,17.1,174.6
SB,2001,20,F,2,179.5,115,16.8,156.5
SB,2001,20,F,1,195,109,17.4,170.1
SB,2007,26,M,12,264,155.5,26.6,445.4
SB,2009,28,F,10,233.5,120.5,22.8,230.9
SB,2001,20,M,1,184,108.2,17.1,161
SB,2001,20,F,1,175,103.5,15.5,122.5
SB,2001,20,M,7,259,152,23.3,343.8
SB,2001,20,F,3,193,109.5,17.8,174.6
SB,2001,20,F,0,140,76,13.3,63.5
SB,2003,22,F,2,201,95.5,17.1,124.7
SB,2001,20,M,1,216.4,115.5,18.5,181.4
SB,2002,21,M,2,264,108.3,18.9,179.2
SB,2007,26,M,7,240,140.5,24,351.5
